CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_level,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,new,new2
772031733,Existing Customer,40,M,E,4,Graduate,Single,$80K - $120K,Blue,29,5,2,14315,690,2603,56,Graduate $80K - $120K,16
771196083,Existing Customer,47,M,E,4,Graduate,Married,$80K - $120K,Blue,34,6,3,18178,0,1837,37,Graduate $80K - $120K,16
814776033,Existing Customer,34,M,C,2,Graduate,Single,$80K - $120K,Blue,29,3,3,13395,1678,2650,69,Graduate $80K - $120K,16
826068183,Existing Customer,36,M,B,1,Graduate,Married,$80K - $120K,Blue,32,4,3,15488,1463,2916,50,Graduate $80K - $120K,16
827049558,Existing Customer,47,M,C,2,Graduate,Unknown,$80K - $120K,Blue,43,3,2,2158,1170,4421,89,Graduate $80K - $120K,16
787593558,Existing Customer,42,M,D,3,Graduate,Married,$80K - $120K,Blue,34,6,0,4562,2258,3740,55,Graduate $80K - $120K,16
710413533,Existing Customer,56,M,C,2,Graduate,Married,$80K - $120K,Blue,51,3,3,12186,1080,4785,66,Graduate $80K - $120K,16
711953358,Existing Customer,51,M,C,2,Graduate,Married,$80K - $120K,Blue,35,4,2,6205,2264,4605,88,Graduate $80K - $120K,16
788687133,Existing Customer,42,M,C,2,Graduate,Married,$80K - $120K,Blue,31,2,1,16433,0,13678,125,Graduate $80K - $120K,16
721294533,Existing Customer,48,M,E,4,Graduate,Married,$80K - $120K,Blue,34,1,1,34516,738,15143,121,Graduate $80K - $120K,16
718225683,Existing Customer,56,M,B,1,Graduate,Single,$80K - $120K,Silver,49,5,2,34516,1091,15274,108,Graduate $80K - $120K,16
811898133,Existing Customer,40,F,D,3,High School,Divorced,Less than $40K,Blue,35,3,3,2555,2117,1334,32,High School Less than $40K,23
714363858,Existing Customer,54,F,E,4,High School,Married,Less than $40K,Blue,36,3,3,1594,1411,1459,35,High School Less than $40K,23
719318583,Attrited Customer,37,M,D,3,High School,Married,Less than $40K,Blue,26,3,4,6866,2389,862,13,High School Less than $40K,23
715822008,Existing Customer,32,M,B,1,High School,Married,Less than $40K,Blue,14,4,2,3568,2175,1913,35,High School Less than $40K,23
708238833,Existing Customer,57,F,D,3,High School,Married,Less than $40K,Blue,36,6,3,3032,2215,1387,30,High School Less than $40K,23
712141683,Existing Customer,48,F,D,3,High School,Single,Less than $40K,Blue,28,4,1,2944,753,3457,61,High School Less than $40K,23
717986058,Existing Customer,29,F,A,0,High School,Single,Less than $40K,Blue,13,6,5,5240,1608,2712,64,High School Less than $40K,23
718358808,Existing Customer,57,F,C,2,High School,Divorced,Less than $40K,Blue,50,5,5,3276,0,3758,61,High School Less than $40K,23
823635033,Existing Customer,49,F,C,2,High School,Married,Less than $40K,Blue,45,6,5,8353,1535,4200,83,High School Less than $40K,23
778839108,Existing Customer,50,F,D,3,High School,Married,Less than $40K,Blue,31,3,4,6292,0,3687,74,High School Less than $40K,23
789097833,Existing Customer,39,F,A,0,High School,Single,Less than $40K,Blue,27,4,3,3927,720,4230,93,High School Less than $40K,23
708515358,Existing Customer,40,F,B,1,High School,Married,Less than $40K,Blue,36,6,2,4712,0,4216,82,High School Less than $40K,23
789396783,Existing Customer,30,F,A,0,High School,Single,Less than $40K,Blue,20,3,4,2112,1109,4729,78,High School Less than $40K,23
719742108,Attrited Customer,38,F,B,1,High School,Single,Less than $40K,Blue,26,5,4,3554,0,2372,44,High School Less than $40K,23
715009833,Existing Customer,51,F,B,1,High School,Married,Less than $40K,Blue,36,3,2,1857,1033,5149,90,High School Less than $40K,23
716961033,Existing Customer,48,F,D,3,High School,Single,Less than $40K,Blue,40,1,3,3520,2149,3630,78,High School Less than $40K,23
772364358,Existing Customer,54,F,C,2,High School,Unknown,Less than $40K,Blue,44,1,1,2691,811,4413,80,High School Less than $40K,23
708340758,Attrited Customer,41,M,E,4,High School,Married,Less than $40K,Blue,32,2,3,7769,0,8109,74,High School Less than $40K,23
717806133,Existing Customer,40,M,C,2,Uneducated,Divorced,$60K - $80K,Blue,29,5,0,23603,0,1382,31,Uneducated $60K - $80K,33
712890408,Existing Customer,45,M,C,2,Uneducated,Married,$60K - $80K,Blue,36,5,2,2221,1343,1338,30,Uneducated $60K - $80K,33
787464408,Existing Customer,53,M,C,2,Uneducated,Single,$60K - $80K,Blue,40,5,2,19116,0,1184,29,Uneducated $60K - $80K,33
809976033,Existing Customer,49,M,C,2,Uneducated,Married,$60K - $80K,Blue,44,6,0,7819,1560,1582,25,Uneducated $60K - $80K,33
711857733,Existing Customer,49,M,D,3,Uneducated,Single,$60K - $80K,Blue,32,3,2,18584,2517,1330,34,Uneducated $60K - $80K,33
710801133,Existing Customer,34,M,C,2,Uneducated,Married,$60K - $80K,Blue,36,6,2,8581,2326,2513,63,Uneducated $60K - $80K,33
783387783,Existing Customer,55,M,C,2,Uneducated,Divorced,$60K - $80K,Blue,49,4,3,10127,1873,1647,53,Uneducated $60K - $80K,33
712730583,Existing Customer,29,M,A,0,Uneducated,Married,$60K - $80K,Blue,20,5,3,8592,1201,1842,50,Uneducated $60K - $80K,33
715055433,Existing Customer,36,M,D,3,Uneducated,Married,$60K - $80K,Blue,22,6,4,2224,1772,2004,44,Uneducated $60K - $80K,33
717038733,Existing Customer,56,M,D,3,Uneducated,Married,$60K - $80K,Blue,36,5,3,2253,1375,1324,38,Uneducated $60K - $80K,33
719273733,Existing Customer,37,M,C,2,Uneducated,Married,$60K - $80K,Blue,36,5,5,7959,998,1855,29,Uneducated $60K - $80K,33
719484408,Existing Customer,39,M,D,3,Uneducated,Married,$60K - $80K,Blue,36,6,4,4759,1459,2903,57,Uneducated $60K - $80K,33
801989733,Existing Customer,55,M,C,2,Uneducated,Single,$60K - $80K,Blue,48,6,2,7667,1193,3915,76,Uneducated $60K - $80K,33
778386033,Existing Customer,38,M,D,3,Uneducated,Married,$60K - $80K,Blue,18,6,4,3417,1749,2068,34,Uneducated $60K - $80K,33
716037708,Existing Customer,50,M,A,0,Uneducated,Divorced,$60K - $80K,Blue,39,6,3,9474,1021,3240,54,Uneducated $60K - $80K,33
818903583,Existing Customer,44,M,F,5,Uneducated,Divorced,$60K - $80K,Blue,39,5,0,16034,1597,3628,59,Uneducated $60K - $80K,33
772472208,Existing Customer,50,M,B,1,Uneducated,Married,$60K - $80K,Blue,40,6,4,4092,996,2298,48,Uneducated $60K - $80K,33
710871108,Existing Customer,45,M,F,5,Uneducated,Divorced,$60K - $80K,Silver,36,4,4,31756,1459,4759,70,Uneducated $60K - $80K,33
712606158,Existing Customer,47,M,E,4,Uneducated,Married,$60K - $80K,Blue,42,4,2,5715,1214,3685,63,Uneducated $60K - $80K,33
719219883,Existing Customer,47,M,C,2,Uneducated,Married,$60K - $80K,Blue,36,4,2,9300,769,3651,67,Uneducated $60K - $80K,33
828288333,Existing Customer,50,M,A,0,Uneducated,Married,$60K - $80K,Blue,46,4,3,3640,659,3756,70,Uneducated $60K - $80K,33
713333433,Attrited Customer,49,M,D,3,Uneducated,Unknown,$60K - $80K,Blue,41,3,4,18075,0,1477,30,Uneducated $60K - $80K,33
711655683,Existing Customer,55,M,B,1,Uneducated,Single,$60K - $80K,Silver,46,4,4,25991,0,2996,62,Uneducated $60K - $80K,33
715776033,Existing Customer,46,M,F,5,Uneducated,Single,$60K - $80K,Blue,33,4,3,3135,0,4116,68,Uneducated $60K - $80K,33
710674533,Attrited Customer,46,M,B,1,Uneducated,Married,$60K - $80K,Blue,34,3,4,15060,0,1611,42,Uneducated $60K - $80K,33
717450633,Attrited Customer,47,M,D,3,Uneducated,Single,$60K - $80K,Blue,36,3,4,1659,1544,1920,39,Uneducated $60K - $80K,33
719756133,Attrited Customer,34,M,E,4,Uneducated,Single,$60K - $80K,Blue,20,3,6,3940,1384,3257,53,Uneducated $60K - $80K,33
771928608,Existing Customer,34,M,B,1,Uneducated,Single,$60K - $80K,Blue,23,6,1,2033,1832,4110,74,Uneducated $60K - $80K,33
712829808,Attrited Customer,39,M,D,3,Uneducated,Married,$60K - $80K,Blue,29,4,4,2187,0,2031,40,Uneducated $60K - $80K,33
718320933,Existing Customer,47,M,D,3,Uneducated,Married,$60K - $80K,Blue,36,2,1,11919,2347,8257,96,Uneducated $60K - $80K,33
772725408,Existing Customer,40,M,D,3,Uneducated,Divorced,$60K - $80K,Blue,30,2,2,24499,2517,7667,84,Uneducated $60K - $80K,33
718728108,Existing Customer,43,M,E,4,Uneducated,Married,$60K - $80K,Silver,30,1,1,29856,1576,14887,119,Uneducated $60K - $80K,33
720512433,Attrited Customer,56,M,B,1,Uneducated,Single,$60K - $80K,Blue,36,6,3,15219,2281,7625,78,Uneducated $60K - $80K,33
779082633,Existing Customer,30,M,C,2,Uneducated,Single,$60K - $80K,Blue,13,3,3,4107,979,14596,104,Uneducated $60K - $80K,33
779692608,Existing Customer,36,M,B,1,Uneducated,Married,$60K - $80K,Blue,19,6,5,9764,0,15097,115,Uneducated $60K - $80K,33
709382958,Existing Customer,55,F,C,2,Graduate,Married,$40K - $60K,Blue,46,6,4,2894,2077,1017,25,Graduate $40K - $60K,14
718011783,Existing Customer,55,M,D,3,Graduate,Married,$40K - $60K,Blue,36,3,3,2205,1337,1591,38,Graduate $40K - $60K,14
712826208,Existing Customer,39,F,C,2,Graduate,Married,$40K - $60K,Blue,26,5,2,2575,1424,1487,33,Graduate $40K - $60K,14
713237958,Existing Customer,34,M,A,0,Graduate,Married,$40K - $60K,Blue,17,4,4,2638,2092,1868,43,Graduate $40K - $60K,14
708151008,Existing Customer,49,F,E,4,Graduate,Married,$40K - $60K,Blue,41,5,2,6250,644,2433,41,Graduate $40K - $60K,14
717983058,Existing Customer,41,F,D,3,Graduate,Married,$40K - $60K,Blue,29,5,3,1982,1068,3058,58,Graduate $40K - $60K,14
756989583,Existing Customer,41,M,E,4,Graduate,Unknown,$40K - $60K,Blue,24,4,2,1605,0,4418,68,Graduate $40K - $60K,14
769053033,Attrited Customer,44,F,B,1,Graduate,Single,$40K - $60K,Blue,38,3,5,4142,2517,2104,44,Graduate $40K - $60K,14
714673833,Existing Customer,59,F,B,1,Graduate,Single,$40K - $60K,Blue,36,3,1,1528,0,4411,77,Graduate $40K - $60K,14
710758683,Existing Customer,61,F,B,1,Graduate,Unknown,$40K - $60K,Silver,48,2,3,15698,2000,12980,82,Graduate $40K - $60K,14
792139308,Existing Customer,48,F,D,3,Graduate,Single,$40K - $60K,Blue,42,1,3,9215,639,13345,114,Graduate $40K - $60K,14
710799783,Existing Customer,35,M,C,2,Unknown,Married,$120K +,Blue,36,4,4,15202,1779,3143,60,Unknown $120K +,37
718665933,Existing Customer,43,M,D,3,Unknown,Divorced,$120K +,Blue,30,3,2,34516,2517,7437,86,Unknown $120K +,37
711436983,Existing Customer,57,M,D,3,Unknown,Single,$120K +,Silver,49,1,1,34516,2517,8596,102,Unknown $120K +,37
714199008,Attrited Customer,50,M,C,2,Unknown,Married,$120K +,Blue,36,6,2,16081,492,6100,61,Unknown $120K +,37
719336583,Existing Customer,55,M,C,2,Uneducated,Married,$120K +,Blue,44,3,3,27745,1300,1525,21,Uneducated $120K +,31
811035483,Attrited Customer,47,M,D,3,Uneducated,Divorced,$120K +,Silver,42,2,5,34516,0,1641,35,Uneducated $120K +,31
827695683,Existing Customer,40,M,D,3,Uneducated,Single,$120K +,Blue,36,4,5,34516,1329,3906,77,Uneducated $120K +,31
789339633,Existing Customer,51,M,C,2,Uneducated,Divorced,$120K +,Blue,41,4,3,30560,0,3736,55,Uneducated $120K +,31
768661758,Existing Customer,53,M,A,0,Uneducated,Divorced,$120K +,Blue,47,5,1,26129,1752,4919,75,Uneducated $120K +,31
716922633,Attrited Customer,38,M,C,2,Uneducated,Single,$120K +,Blue,30,6,4,4043,2517,2600,47,Uneducated $120K +,31
717684858,Existing Customer,50,M,D,3,Uneducated,Single,$120K +,Blue,38,6,3,22304,1333,5002,60,Uneducated $120K +,31
811705233,Existing Customer,45,M,C,2,Unknown,Single,$40K - $60K,Blue,40,6,3,7037,0,4099,71,Unknown $40K - $60K,38
714253983,Existing Customer,44,M,D,3,Unknown,Married,$40K - $60K,Blue,36,4,3,9465,0,3675,59,Unknown $40K - $60K,38
719504433,Existing Customer,63,M,A,0,Unknown,Single,$40K - $60K,Silver,54,4,3,18064,1695,3434,71,Unknown $40K - $60K,38
708703308,Attrited Customer,35,F,B,1,Unknown,Married,$40K - $60K,Blue,26,6,4,2045,1707,2183,39,Unknown $40K - $60K,38
796196733,Existing Customer,52,F,C,2,Unknown,Single,$40K - $60K,Blue,46,4,3,4259,0,4389,80,Unknown $40K - $60K,38
798783858,Existing Customer,48,F,D,3,Unknown,Unknown,$40K - $60K,Blue,42,2,1,9742,2517,13082,92,Unknown $40K - $60K,38
815353083,Attrited Customer,44,M,B,1,College,Divorced,$80K - $120K,Silver,39,2,2,34516,2361,1853,36,College $80K - $120K,4
770667408,Existing Customer,47,M,E,4,College,Married,$80K - $120K,Blue,33,3,3,8854,2382,4768,81,College $80K - $120K,4
815308683,Existing Customer,46,M,D,3,College,Married,$80K - $120K,Blue,41,4,1,18927,887,3101,54,College $80K - $120K,4
718396533,Existing Customer,47,M,D,3,College,Single,$80K - $120K,Blue,38,5,3,8185,1556,4527,83,College $80K - $120K,4
779655183,Existing Customer,48,M,E,4,College,Single,$80K - $120K,Blue,31,6,3,5033,0,4054,82,College $80K - $120K,4
710822808,Existing Customer,51,M,A,0,College,Single,$80K - $120K,Blue,33,1,1,34516,1228,7854,89,College $80K - $120K,4
711318033,Existing Customer,47,M,D,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2926,0,1304,24,Graduate $60K - $80K,15
710027508,Existing Customer,61,M,A,0,Graduate,Married,$60K - $80K,Blue,54,3,0,1616,1047,1389,33,Graduate $60K - $80K,15
715022133,Existing Customer,53,M,C,2,Graduate,Married,$60K - $80K,Blue,47,6,2,6363,1162,1256,26,Graduate $60K - $80K,15
792402483,Existing Customer,46,M,E,4,Graduate,Single,$60K - $80K,Blue,40,5,1,12280,985,4263,70,Graduate $60K - $80K,15
720568083,Existing Customer,40,M,C,2,Graduate,Divorced,$60K - $80K,Blue,36,5,4,8624,0,2428,53,Graduate $60K - $80K,15
719530158,Existing Customer,57,M,B,1,Graduate,Single,$60K - $80K,Blue,44,3,2,9843,1273,3677,66,Graduate $60K - $80K,15
711654558,Existing Customer,46,M,D,3,Graduate,Unknown,$60K - $80K,Blue,36,6,4,2179,1632,4025,69,Graduate $60K - $80K,15
779327733,Existing Customer,43,M,B,1,Graduate,Divorced,$60K - $80K,Blue,25,4,3,1783,1014,3861,81,Graduate $60K - $80K,15
709275558,Existing Customer,54,M,C,2,Graduate,Single,$60K - $80K,Blue,44,6,2,7866,0,4238,55,Graduate $60K - $80K,15
818729208,Existing Customer,52,M,D,3,Graduate,Married,$60K - $80K,Blue,47,3,3,8185,941,4525,77,Graduate $60K - $80K,15
708671733,Existing Customer,48,M,E,4,Graduate,Married,$60K - $80K,Blue,36,2,3,2072,1499,4091,71,Graduate $60K - $80K,15
715908558,Existing Customer,44,M,A,0,Graduate,Unknown,$60K - $80K,Silver,36,1,1,29572,1584,7566,88,Graduate $60K - $80K,15
819109308,Existing Customer,62,M,A,0,Graduate,Divorced,$60K - $80K,Blue,56,1,3,6103,2517,8080,92,Graduate $60K - $80K,15
779293308,Existing Customer,51,M,E,4,Graduate,Married,$60K - $80K,Silver,33,1,3,25653,2059,8305,103,Graduate $60K - $80K,15
710873583,Existing Customer,58,M,B,1,Graduate,Married,$60K - $80K,Blue,48,2,2,20724,2221,14215,109,Graduate $60K - $80K,15
715474083,Existing Customer,51,M,D,3,Graduate,Single,$60K - $80K,Silver,36,3,2,29663,1743,14638,93,Graduate $60K - $80K,15
816533733,Existing Customer,50,M,B,1,Unknown,Married,$80K - $120K,Blue,45,5,2,33951,0,1567,44,Unknown $80K - $120K,40
788789658,Existing Customer,40,M,F,5,Unknown,Unknown,$80K - $120K,Blue,22,6,4,4042,1744,1471,37,Unknown $80K - $120K,40
717261708,Existing Customer,53,M,B,1,Unknown,Married,$80K - $120K,Blue,36,4,3,13457,1248,1548,41,Unknown $80K - $120K,40
716938383,Existing Customer,41,M,E,4,Unknown,Married,$80K - $120K,Blue,28,3,3,34516,0,3811,61,Unknown $80K - $120K,40
711184983,Existing Customer,41,M,F,5,Unknown,Unknown,$80K - $120K,Blue,29,6,1,11191,0,3839,73,Unknown $80K - $120K,40
714125883,Existing Customer,47,M,C,2,Unknown,Married,$80K - $120K,Blue,36,6,1,2514,1845,3696,71,Unknown $80K - $120K,40
712602708,Attrited Customer,36,M,D,3,Unknown,Unknown,$80K - $120K,Blue,36,4,2,1815,0,2039,34,Unknown $80K - $120K,40
719437908,Existing Customer,44,M,D,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,17965,1644,1767,50,Post-Graduate $80K - $120K,28
708820308,Existing Customer,47,M,D,3,Post-Graduate,Unknown,$80K - $120K,Blue,36,6,2,13399,2505,1326,31,Post-Graduate $80K - $120K,28
710677608,Existing Customer,53,M,C,2,Post-Graduate,Unknown,$80K - $120K,Blue,36,4,0,29205,1208,1556,43,Post-Graduate $80K - $120K,28
720267033,Existing Customer,34,M,E,4,Post-Graduate,Single,$80K - $120K,Blue,26,3,2,5100,1786,2375,63,Post-Graduate $80K - $120K,28
772782708,Existing Customer,50,M,D,3,Post-Graduate,Single,$80K - $120K,Blue,40,5,2,31383,1688,1721,56,Post-Graduate $80K - $120K,28
709224858,Existing Customer,53,M,C,2,Post-Graduate,Married,$80K - $120K,Blue,36,5,2,3610,1629,1652,40,Post-Graduate $80K - $120K,28
796990908,Existing Customer,35,M,D,3,Post-Graduate,Single,$80K - $120K,Silver,29,5,2,34516,1872,2227,61,Post-Graduate $80K - $120K,28
712491108,Existing Customer,35,M,B,1,Post-Graduate,Married,$80K - $120K,Blue,20,6,4,13046,1177,2601,52,Post-Graduate $80K - $120K,28
772468983,Existing Customer,36,M,B,1,Post-Graduate,Married,$80K - $120K,Blue,26,3,2,21927,1291,1946,37,Post-Graduate $80K - $120K,28
711405333,Existing Customer,52,M,D,3,Post-Graduate,Married,$80K - $120K,Blue,43,5,2,6849,2126,1651,43,Post-Graduate $80K - $120K,28
787231233,Existing Customer,34,M,F,5,Post-Graduate,Single,$80K - $120K,Silver,28,3,2,34516,1731,2421,63,Post-Graduate $80K - $120K,28
794967408,Existing Customer,53,M,D,3,Post-Graduate,Married,$80K - $120K,Blue,47,5,1,9106,975,3863,74,Post-Graduate $80K - $120K,28
718611333,Existing Customer,55,M,D,3,Post-Graduate,Married,$80K - $120K,Blue,36,6,0,6400,1979,4475,91,Post-Graduate $80K - $120K,28
790108908,Existing Customer,44,M,C,2,Post-Graduate,Married,$80K - $120K,Blue,37,5,1,34058,0,4043,57,Post-Graduate $80K - $120K,28
779667408,Existing Customer,58,M,B,1,Post-Graduate,Single,$80K - $120K,Blue,41,4,1,2915,1494,4235,73,Post-Graduate $80K - $120K,28
708976908,Attrited Customer,40,M,D,3,Post-Graduate,Single,$80K - $120K,Blue,36,4,3,8958,0,2131,43,Post-Graduate $80K - $120K,28
719475633,Existing Customer,42,M,D,3,Post-Graduate,Married,$80K - $120K,Blue,30,6,3,13908,0,4319,81,Post-Graduate $80K - $120K,28
713894358,Existing Customer,51,M,C,2,Post-Graduate,Unknown,$80K - $120K,Gold,46,2,2,34516,814,7889,98,Post-Graduate $80K - $120K,28
771411408,Attrited Customer,50,M,B,1,Post-Graduate,Unknown,$80K - $120K,Blue,38,2,4,2673,0,4929,54,Post-Graduate $80K - $120K,28
788766933,Existing Customer,46,M,C,2,Post-Graduate,Married,$80K - $120K,Blue,26,1,1,34516,714,14279,97,Post-Graduate $80K - $120K,28
788779983,Existing Customer,58,M,C,2,Post-Graduate,Married,$80K - $120K,Blue,39,4,3,3742,2517,16401,121,Post-Graduate $80K - $120K,28
784725333,Existing Customer,41,M,D,3,High School,Married,$40K - $60K,Blue,33,4,1,4470,680,931,18,High School $40K - $60K,20
785387883,Existing Customer,47,F,D,3,High School,Single,$40K - $60K,Blue,41,4,3,3788,1540,1594,47,High School $40K - $60K,20
713539833,Existing Customer,48,F,E,4,High School,Single,$40K - $60K,Blue,38,6,3,8135,0,1716,29,High School $40K - $60K,20
772390908,Attrited Customer,59,M,A,0,High School,Single,$40K - $60K,Blue,48,2,3,3616,1054,687,17,High School $40K - $60K,20
773466258,Existing Customer,48,F,E,4,High School,Married,$40K - $60K,Blue,42,3,3,4206,1100,1144,22,High School $40K - $60K,20
772047183,Existing Customer,45,M,E,4,High School,Married,$40K - $60K,Blue,34,6,3,3104,1766,1353,24,High School $40K - $60K,20
721059033,Existing Customer,48,F,D,3,High School,Divorced,$40K - $60K,Blue,40,4,2,1919,774,1505,33,High School $40K - $60K,20
712710708,Existing Customer,55,M,C,2,High School,Single,$40K - $60K,Blue,36,5,0,6244,2517,1445,40,High School $40K - $60K,20
710429358,Existing Customer,57,M,B,1,High School,Married,$40K - $60K,Blue,48,5,3,2544,1927,1346,30,High School $40K - $60K,20
708938508,Existing Customer,63,M,B,1,High School,Married,$40K - $60K,Blue,36,5,2,4559,1571,1870,35,High School $40K - $60K,20
719068683,Existing Customer,52,F,B,1,High School,Married,$40K - $60K,Blue,36,5,2,3136,1864,1036,25,High School $40K - $60K,20
712636308,Existing Customer,65,F,C,2,High School,Married,$40K - $60K,Blue,45,6,2,2658,1514,1627,26,High School $40K - $60K,20
717412608,Attrited Customer,38,F,C,2,High School,Married,$40K - $60K,Blue,28,3,2,7225,0,738,16,High School $40K - $60K,20
717141858,Existing Customer,56,F,C,2,High School,Single,$40K - $60K,Blue,36,4,2,13904,625,3151,67,High School $40K - $60K,20
715760733,Existing Customer,58,M,E,4,High School,Married,$40K - $60K,Blue,47,6,4,7803,1885,1199,25,High School $40K - $60K,20
713767383,Existing Customer,32,F,A,0,High School,Married,$40K - $60K,Blue,22,4,2,2062,1665,2397,41,High School $40K - $60K,20
824789283,Existing Customer,36,M,C,2,High School,Single,$40K - $60K,Blue,32,3,2,2683,1533,2373,73,High School $40K - $60K,20
711041508,Existing Customer,37,F,B,1,High School,Married,$40K - $60K,Blue,25,4,4,5865,2517,2623,47,High School $40K - $60K,20
714093108,Existing Customer,58,F,C,2,High School,Single,$40K - $60K,Blue,36,3,3,7372,1210,1707,56,High School $40K - $60K,20
820020258,Existing Customer,55,F,B,1,High School,Single,$40K - $60K,Blue,46,5,4,5379,962,1778,40,High School $40K - $60K,20
780251658,Existing Customer,32,M,B,1,High School,Married,$40K - $60K,Blue,18,4,4,4583,1586,2395,57,High School $40K - $60K,20
717085983,Existing Customer,44,F,C,2,High School,Single,$40K - $60K,Blue,25,6,3,3299,2517,4312,84,High School $40K - $60K,20
710218233,Existing Customer,43,F,D,3,High School,Single,$40K - $60K,Blue,35,4,3,2297,1044,3161,65,High School $40K - $60K,20
720964683,Existing Customer,60,M,A,0,High School,Single,$40K - $60K,Blue,36,5,2,5420,0,3477,60,High School $40K - $60K,20
721028283,Existing Customer,40,F,E,4,High School,Married,$40K - $60K,Blue,28,4,3,11494,1160,3353,86,High School $40K - $60K,20
712949733,Existing Customer,46,M,F,5,High School,Single,$40K - $60K,Blue,37,3,3,6340,1985,3536,61,High School $40K - $60K,20
